PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=87 ttl=50 time=86.7 ms
64 bytes from 5.180.211.133: icmp_seq=88 ttl=50 time=98.1 ms
64 bytes from 5.180.211.133: icmp_seq=89 ttl=50 time=96.9 ms
64 bytes from 5.180.211.133: icmp_seq=90 ttl=50 time=98.1 ms
64 bytes from 5.180.211.133: icmp_seq=91 ttl=50 time=95.3 ms
64 bytes from 5.180.211.133: icmp_seq=92 ttl=50 time=96.5 ms
64 bytes from 5.180.211.133: icmp_seq=93 ttl=50 time=96.8 ms
64 bytes from 5.180.211.133: icmp_seq=94 ttl=50 time=89.6 ms
64 bytes from 5.180.211.133: icmp_seq=95 ttl=50 time=89.2 ms
64 bytes from 5.180.211.133: icmp_seq=96 ttl=50 time=95.4 ms
64 bytes from 5.180.211.133: icmp_seq=97 ttl=50 time=104 ms
64 bytes from 5.180.211.133: icmp_seq=98 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=99 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=100 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=101 ttl=50 time=92.4 ms
64 bytes from 5.180.211.133: icmp_seq=102 ttl=50 time=95.8 ms
64 bytes from 5.180.211.133: icmp_seq=103 ttl=50 time=112 ms
64 bytes from 5.180.211.133: icmp_seq=104 ttl=50 time=96.3 ms
64 bytes from 5.180.211.133: icmp_seq=105 ttl=50 time=87.5 ms
64 bytes from 5.180.211.133: icmp_seq=106 ttl=50 time=91.0 ms
64 bytes from 5.180.211.133: icmp_seq=107 ttl=50 time=145 ms
64 bytes from 5.180.211.133: icmp_seq=108 ttl=50 time=107 ms
64 bytes from 5.180.211.133: icmp_seq=109 ttl=50 time=79.9 ms
64 bytes from 5.180.211.133: icmp_seq=110 ttl=50 time=83.3 ms
64 bytes from 5.180.211.133: icmp_seq=111 ttl=50 time=87.1 ms
64 bytes from 5.180.211.133: icmp_seq=112 ttl=50 time=91.8 ms
64 bytes from 5.180.211.133: icmp_seq=113 ttl=50 time=95.4 ms
64 bytes from 5.180.211.133: icmp_seq=114 ttl=50 time=93.3 ms
64 bytes from 5.180.211.133: icmp_seq=115 ttl=50 time=93.0 ms
64 bytes from 5.180.211.133: icmp_seq=116 ttl=50 time=91.8 ms
64 bytes from 5.180.211.133: icmp_seq=117 ttl=50 time=87.7 ms
64 bytes from 5.180.211.133: icmp_seq=118 ttl=50 time=87.8 ms
64 bytes from 5.180.211.133: icmp_seq=119 ttl=50 time=94.4 ms
64 bytes from 5.180.211.133: icmp_seq=120 ttl=50 time=89.2 ms
64 bytes from 5.180.211.133: icmp_seq=121 ttl=50 time=96.8 ms
64 bytes from 5.180.211.133: icmp_seq=122 ttl=50 time=87.2 ms
64 bytes from 5.180.211.133: icmp_seq=123 ttl=50 time=85.4 ms
64 bytes from 5.180.211.133: icmp_seq=124 ttl=50 time=151 ms
64 bytes from 5.180.211.133: icmp_seq=125 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=126 ttl=50 time=90.0 ms
64 bytes from 5.180.211.133: icmp_seq=127 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=128 ttl=50 time=89.8 ms
64 bytes from 5.180.211.133: icmp_seq=129 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=130 ttl=50 time=99.4 ms
64 bytes from 5.180.211.133: icmp_seq=131 ttl=50 time=92.6 ms
64 bytes from 5.180.211.133: icmp_seq=132 ttl=50 time=83.1 ms
64 bytes from 5.180.211.133: icmp_seq=133 ttl=50 time=137 ms
64 bytes from 5.180.211.133: icmp_seq=134 ttl=50 time=93.8 ms
64 bytes from 5.180.211.133: icmp_seq=135 ttl=50 time=113 ms
64 bytes from 5.180.211.133: icmp_seq=136 ttl=50 time=83.5 ms
64 bytes from 5.180.211.133: icmp_seq=137 ttl=50 time=99.5 ms
64 bytes from 5.180.211.133: icmp_seq=138 ttl=50 time=98.5 ms
64 bytes from 5.180.211.133: icmp_seq=139 ttl=50 time=164 ms
64 bytes from 5.180.211.133: icmp_seq=140 ttl=50 time=116 ms
64 bytes from 5.180.211.133: icmp_seq=141 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=142 ttl=50 time=97.0 ms
64 bytes from 5.180.211.133: icmp_seq=143 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=144 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=145 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=146 ttl=50 time=98.3 ms
64 bytes from 5.180.211.133: icmp_seq=147 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=148 ttl=50 time=114 ms
64 bytes from 5.180.211.133: icmp_seq=149 ttl=50 time=94.5 ms
64 bytes from 5.180.211.133: icmp_seq=150 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=151 ttl=50 time=81.3 ms
64 bytes from 5.180.211.133: icmp_seq=152 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=153 ttl=50 time=84.7 ms
64 bytes from 5.180.211.133: icmp_seq=154 ttl=50 time=89.2 ms
64 bytes from 5.180.211.133: icmp_seq=155 ttl=50 time=88.2 ms
64 bytes from 5.180.211.133: icmp_seq=156 ttl=50 time=79.8 ms
64 bytes from 5.180.211.133: icmp_seq=157 ttl=50 time=80.9 ms
64 bytes from 5.180.211.133: icmp_seq=158 ttl=50 time=81.1 ms
64 bytes from 5.180.211.133: icmp_seq=159 ttl=50 time=95.4 ms
64 bytes from 5.180.211.133: icmp_seq=160 ttl=50 time=82.8 ms
64 bytes from 5.180.211.133: icmp_seq=161 ttl=50 time=84.7 ms
64 bytes from 5.180.211.133: icmp_seq=162 ttl=50 time=86.9 ms
64 bytes from 5.180.211.133: icmp_seq=163 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=164 ttl=50 time=87.8 ms
64 bytes from 5.180.211.133: icmp_seq=165 ttl=50 time=79.4 ms
64 bytes from 5.180.211.133: icmp_seq=166 ttl=50 time=82.0 ms
64 bytes from 5.180.211.133: icmp_seq=167 ttl=50 time=82.7 ms
64 bytes from 5.180.211.133: icmp_seq=168 ttl=50 time=86.1 ms
64 bytes from 5.180.211.133: icmp_seq=169 ttl=50 time=90.6 ms
64 bytes from 5.180.211.133: icmp_seq=170 ttl=50 time=82.6 ms
64 bytes from 5.180.211.133: icmp_seq=171 ttl=50 time=94.9 ms
64 bytes from 5.180.211.133: icmp_seq=172 ttl=50 time=90.4 ms
64 bytes from 5.180.211.133: icmp_seq=173 ttl=50 time=85.2 ms
64 bytes from 5.180.211.133: icmp_seq=174 ttl=50 time=88.6 ms
64 bytes from 5.180.211.133: icmp_seq=175 ttl=50 time=83.1 ms
64 bytes from 5.180.211.133: icmp_seq=176 ttl=50 time=83.3 ms
64 bytes from 5.180.211.133: icmp_seq=177 ttl=50 time=87.5 ms
64 bytes from 5.180.211.133: icmp_seq=178 ttl=50 time=84.5 ms
64 bytes from 5.180.211.133: icmp_seq=179 ttl=50 time=84.9 ms
64 bytes from 5.180.211.133: icmp_seq=180 ttl=50 time=81.3 ms
64 bytes from 5.180.211.133: icmp_seq=181 ttl=50 time=88.5 ms
64 bytes from 5.180.211.133: icmp_seq=182 ttl=50 time=88.4 ms
64 bytes from 5.180.211.133: icmp_seq=183 ttl=50 time=88.5 ms
64 bytes from 5.180.211.133: icmp_seq=184 ttl=50 time=211 ms
64 bytes from 5.180.211.133: icmp_seq=185 ttl=50 time=399 ms
64 bytes from 5.180.211.133: icmp_seq=186 ttl=50 time=273 ms
64 bytes from 5.180.211.133: icmp_seq=187 ttl=50 time=516 ms
64 bytes from 5.180.211.133: icmp_seq=188 ttl=50 time=389 ms
64 bytes from 5.180.211.133: icmp_seq=189 ttl=50 time=187 ms
64 bytes from 5.180.211.133: icmp_seq=190 ttl=50 time=427 ms
64 bytes from 5.180.211.133: icmp_seq=191 ttl=50 time=291 ms
64 bytes from 5.180.211.133: icmp_seq=192 ttl=50 time=87.4 ms
64 bytes from 5.180.211.133: icmp_seq=193 ttl=50 time=409 ms
64 bytes from 5.180.211.133: icmp_seq=194 ttl=50 time=203 ms
64 bytes from 5.180.211.133: icmp_seq=195 ttl=50 time=81.3 ms
64 bytes from 5.180.211.133: icmp_seq=196 ttl=50 time=333 ms
64 bytes from 5.180.211.133: icmp_seq=197 ttl=50 time=125 ms
64 bytes from 5.180.211.133: icmp_seq=199 ttl=50 time=258 ms
64 bytes from 5.180.211.133: icmp_seq=198 ttl=50 time=461 ms
64 bytes from 5.180.211.133: icmp_seq=200 ttl=50 time=112 ms
64 bytes from 5.180.211.133: icmp_seq=201 ttl=50 time=344 ms
64 bytes from 5.180.211.133: icmp_seq=202 ttl=50 time=142 ms
64 bytes from 5.180.211.133: icmp_seq=203 ttl=50 time=473 ms
64 bytes from 5.180.211.133: icmp_seq=204 ttl=50 time=265 ms
64 bytes from 5.180.211.133: icmp_seq=205 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=206 ttl=50 time=371 ms
64 bytes from 5.180.211.133: icmp_seq=207 ttl=50 time=166 ms
64 bytes from 5.180.211.133: icmp_seq=208 ttl=50 time=208 ms
64 bytes from 5.180.211.133: icmp_seq=209 ttl=50 time=87.3 ms
64 bytes from 5.180.211.133: icmp_seq=210 ttl=50 time=86.0 ms
64 bytes from 5.180.211.133: icmp_seq=211 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=212 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=213 ttl=50 time=79.2 ms
64 bytes from 5.180.211.133: icmp_seq=214 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=215 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=216 ttl=50 time=161 ms
64 bytes from 5.180.211.133: icmp_seq=217 ttl=50 time=201 ms
64 bytes from 5.180.211.133: icmp_seq=218 ttl=50 time=85.2 ms
64 bytes from 5.180.211.133: icmp_seq=219 ttl=50 time=164 ms
64 bytes from 5.180.211.133: icmp_seq=220 ttl=50 time=156 ms
64 bytes from 5.180.211.133: icmp_seq=221 ttl=50 time=90.1 ms
64 bytes from 5.180.211.133: icmp_seq=222 ttl=50 time=89.3 ms
64 bytes from 5.180.211.133: icmp_seq=223 ttl=50 time=115 ms
64 bytes from 5.180.211.133: icmp_seq=224 ttl=50 time=120 ms
64 bytes from 5.180.211.133: icmp_seq=225 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=226 ttl=50 time=82.4 ms
64 bytes from 5.180.211.133: icmp_seq=227 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=228 ttl=50 time=97.0 ms
64 bytes from 5.180.211.133: icmp_seq=229 ttl=50 time=158 ms
64 bytes from 5.180.211.133: icmp_seq=230 ttl=50 time=157 ms
64 bytes from 5.180.211.133: icmp_seq=231 ttl=50 time=83.4 ms
64 bytes from 5.180.211.133: icmp_seq=232 ttl=50 time=145 ms
64 bytes from 5.180.211.133: icmp_seq=233 ttl=50 time=155 ms
64 bytes from 5.180.211.133: icmp_seq=234 ttl=50 time=188 ms
64 bytes from 5.180.211.133: icmp_seq=235 ttl=50 time=188 ms
64 bytes from 5.180.211.133: icmp_seq=236 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=237 ttl=50 time=117 ms
64 bytes from 5.180.211.133: icmp_seq=238 ttl=50 time=122 ms
64 bytes from 5.180.211.133: icmp_seq=239 ttl=50 time=96.2 ms
64 bytes from 5.180.211.133: icmp_seq=240 ttl=50 time=96.2 ms
64 bytes from 5.180.211.133: icmp_seq=241 ttl=50 time=93.2 ms
64 bytes from 5.180.211.133: icmp_seq=242 ttl=50 time=152 ms
64 bytes from 5.180.211.133: icmp_seq=243 ttl=50 time=144 ms
64 bytes from 5.180.211.133: icmp_seq=244 ttl=50 time=82.6 ms
64 bytes from 5.180.211.133: icmp_seq=245 ttl=50 time=144 ms
64 bytes from 5.180.211.133: icmp_seq=246 ttl=50 time=147 ms
64 bytes from 5.180.211.133: icmp_seq=247 ttl=50 time=185 ms
64 bytes from 5.180.211.133: icmp_seq=248 ttl=50 time=187 ms
64 bytes from 5.180.211.133: icmp_seq=249 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=250 ttl=50 time=119 ms
64 bytes from 5.180.211.133: icmp_seq=251 ttl=50 time=167 ms
64 bytes from 5.180.211.133: icmp_seq=252 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=253 ttl=50 time=95.5 ms
64 bytes from 5.180.211.133: icmp_seq=254 ttl=50 time=84.3 ms
64 bytes from 5.180.211.133: icmp_seq=255 ttl=50 time=142 ms
