PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=196 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=197 ttl=50 time=99.9 ms
64 bytes from 5.180.211.133: icmp_seq=198 ttl=50 time=97.4 ms
64 bytes from 5.180.211.133: icmp_seq=199 ttl=50 time=95.0 ms
64 bytes from 5.180.211.133: icmp_seq=200 ttl=50 time=95.5 ms
64 bytes from 5.180.211.133: icmp_seq=201 ttl=50 time=90.4 ms
64 bytes from 5.180.211.133: icmp_seq=202 ttl=50 time=126 ms
64 bytes from 5.180.211.133: icmp_seq=203 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=204 ttl=50 time=99.6 ms
64 bytes from 5.180.211.133: icmp_seq=205 ttl=50 time=91.2 ms
64 bytes from 5.180.211.133: icmp_seq=206 ttl=50 time=84.4 ms
64 bytes from 5.180.211.133: icmp_seq=207 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=208 ttl=50 time=91.3 ms
64 bytes from 5.180.211.133: icmp_seq=209 ttl=50 time=93.2 ms
64 bytes from 5.180.211.133: icmp_seq=210 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=211 ttl=50 time=88.2 ms
64 bytes from 5.180.211.133: icmp_seq=212 ttl=50 time=154 ms
64 bytes from 5.180.211.133: icmp_seq=213 ttl=50 time=108 ms
64 bytes from 5.180.211.133: icmp_seq=214 ttl=50 time=97.7 ms
64 bytes from 5.180.211.133: icmp_seq=215 ttl=50 time=92.0 ms
64 bytes from 5.180.211.133: icmp_seq=216 ttl=50 time=83.0 ms
64 bytes from 5.180.211.133: icmp_seq=217 ttl=50 time=99.0 ms
64 bytes from 5.180.211.133: icmp_seq=218 ttl=50 time=97.1 ms
64 bytes from 5.180.211.133: icmp_seq=219 ttl=50 time=97.7 ms
64 bytes from 5.180.211.133: icmp_seq=220 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=221 ttl=50 time=99.6 ms
64 bytes from 5.180.211.133: icmp_seq=222 ttl=50 time=94.4 ms
64 bytes from 5.180.211.133: icmp_seq=223 ttl=50 time=99.1 ms
64 bytes from 5.180.211.133: icmp_seq=224 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=225 ttl=50 time=91.2 ms
64 bytes from 5.180.211.133: icmp_seq=226 ttl=50 time=97.6 ms
64 bytes from 5.180.211.133: icmp_seq=227 ttl=50 time=95.7 ms
64 bytes from 5.180.211.133: icmp_seq=228 ttl=50 time=112 ms
64 bytes from 5.180.211.133: icmp_seq=229 ttl=50 time=89.9 ms
64 bytes from 5.180.211.133: icmp_seq=230 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=231 ttl=50 time=87.8 ms
64 bytes from 5.180.211.133: icmp_seq=232 ttl=50 time=107 ms
64 bytes from 5.180.211.133: icmp_seq=233 ttl=50 time=88.2 ms
64 bytes from 5.180.211.133: icmp_seq=234 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=235 ttl=50 time=93.0 ms
64 bytes from 5.180.211.133: icmp_seq=236 ttl=50 time=93.8 ms
64 bytes from 5.180.211.133: icmp_seq=237 ttl=50 time=115 ms
64 bytes from 5.180.211.133: icmp_seq=238 ttl=50 time=78.5 ms
64 bytes from 5.180.211.133: icmp_seq=239 ttl=50 time=90.4 ms
64 bytes from 5.180.211.133: icmp_seq=240 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=241 ttl=50 time=91.5 ms
64 bytes from 5.180.211.133: icmp_seq=242 ttl=50 time=91.6 ms
64 bytes from 5.180.211.133: icmp_seq=243 ttl=50 time=125 ms
64 bytes from 5.180.211.133: icmp_seq=244 ttl=50 time=99.8 ms
64 bytes from 5.180.211.133: icmp_seq=245 ttl=50 time=89.8 ms
64 bytes from 5.180.211.133: icmp_seq=246 ttl=50 time=97.3 ms
64 bytes from 5.180.211.133: icmp_seq=247 ttl=50 time=116 ms
64 bytes from 5.180.211.133: icmp_seq=248 ttl=50 time=96.8 ms
64 bytes from 5.180.211.133: icmp_seq=249 ttl=50 time=96.0 ms
64 bytes from 5.180.211.133: icmp_seq=250 ttl=50 time=82.6 ms
64 bytes from 5.180.211.133: icmp_seq=251 ttl=50 time=82.2 ms
64 bytes from 5.180.211.133: icmp_seq=252 ttl=50 time=80.4 ms
64 bytes from 5.180.211.133: icmp_seq=253 ttl=50 time=93.6 ms
64 bytes from 5.180.211.133: icmp_seq=254 ttl=50 time=82.6 ms
64 bytes from 5.180.211.133: icmp_seq=255 ttl=50 time=79.7 ms
64 bytes from 5.180.211.133: icmp_seq=256 ttl=50 time=83.6 ms
64 bytes from 5.180.211.133: icmp_seq=257 ttl=50 time=83.9 ms
64 bytes from 5.180.211.133: icmp_seq=258 ttl=50 time=95.8 ms
64 bytes from 5.180.211.133: icmp_seq=259 ttl=50 time=86.4 ms
64 bytes from 5.180.211.133: icmp_seq=260 ttl=50 time=77.5 ms
64 bytes from 5.180.211.133: icmp_seq=261 ttl=50 time=83.1 ms
64 bytes from 5.180.211.133: icmp_seq=262 ttl=50 time=86.4 ms
64 bytes from 5.180.211.133: icmp_seq=263 ttl=50 time=89.5 ms
64 bytes from 5.180.211.133: icmp_seq=264 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=265 ttl=50 time=82.5 ms
64 bytes from 5.180.211.133: icmp_seq=266 ttl=50 time=78.3 ms
64 bytes from 5.180.211.133: icmp_seq=267 ttl=50 time=80.5 ms
64 bytes from 5.180.211.133: icmp_seq=268 ttl=50 time=81.4 ms
64 bytes from 5.180.211.133: icmp_seq=269 ttl=50 time=79.0 ms
64 bytes from 5.180.211.133: icmp_seq=270 ttl=50 time=78.6 ms
64 bytes from 5.180.211.133: icmp_seq=271 ttl=50 time=84.5 ms
64 bytes from 5.180.211.133: icmp_seq=272 ttl=50 time=78.5 ms
64 bytes from 5.180.211.133: icmp_seq=273 ttl=50 time=80.5 ms
64 bytes from 5.180.211.133: icmp_seq=274 ttl=50 time=83.0 ms
64 bytes from 5.180.211.133: icmp_seq=275 ttl=50 time=79.3 ms
64 bytes from 5.180.211.133: icmp_seq=276 ttl=50 time=78.3 ms
64 bytes from 5.180.211.133: icmp_seq=277 ttl=50 time=81.1 ms
64 bytes from 5.180.211.133: icmp_seq=278 ttl=50 time=79.2 ms
64 bytes from 5.180.211.133: icmp_seq=279 ttl=50 time=84.1 ms
64 bytes from 5.180.211.133: icmp_seq=280 ttl=50 time=81.9 ms
64 bytes from 5.180.211.133: icmp_seq=281 ttl=50 time=80.5 ms
64 bytes from 5.180.211.133: icmp_seq=282 ttl=50 time=79.0 ms
64 bytes from 5.180.211.133: icmp_seq=283 ttl=50 time=81.4 ms
64 bytes from 5.180.211.133: icmp_seq=284 ttl=50 time=78.9 ms
64 bytes from 5.180.211.133: icmp_seq=285 ttl=50 time=81.2 ms
64 bytes from 5.180.211.133: icmp_seq=286 ttl=50 time=79.4 ms
64 bytes from 5.180.211.133: icmp_seq=287 ttl=50 time=79.8 ms
64 bytes from 5.180.211.133: icmp_seq=288 ttl=50 time=77.9 ms
64 bytes from 5.180.211.133: icmp_seq=289 ttl=50 time=78.9 ms
64 bytes from 5.180.211.133: icmp_seq=290 ttl=50 time=81.3 ms
64 bytes from 5.180.211.133: icmp_seq=291 ttl=50 time=79.4 ms
64 bytes from 5.180.211.133: icmp_seq=292 ttl=50 time=79.4 ms
64 bytes from 5.180.211.133: icmp_seq=293 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=294 ttl=50 time=81.4 ms
64 bytes from 5.180.211.133: icmp_seq=295 ttl=50 time=82.0 ms
64 bytes from 5.180.211.133: icmp_seq=296 ttl=50 time=77.7 ms
64 bytes from 5.180.211.133: icmp_seq=297 ttl=50 time=82.0 ms
64 bytes from 5.180.211.133: icmp_seq=298 ttl=50 time=77.9 ms
64 bytes from 5.180.211.133: icmp_seq=299 ttl=50 time=80.2 ms
