PING nyc.speedtest.clouvider.net (194.33.45.192) 56(84) bytes of data.
64 bytes from 194.33.45.192: icmp_seq=103 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=104 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=105 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=106 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=107 ttl=49 time=326 ms
64 bytes from 194.33.45.192: icmp_seq=109 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=110 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=111 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=112 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=113 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=114 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=115 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=116 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=117 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=118 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=119 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=120 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=121 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=122 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=123 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=124 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=125 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=126 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=127 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=128 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=129 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=130 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=131 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=132 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=133 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=134 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=135 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=136 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=137 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=138 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=139 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=140 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=141 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=142 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=143 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=144 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=145 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=146 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=147 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=148 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=149 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=150 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=151 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=152 ttl=49 time=285 ms
64 bytes from 194.33.45.192: icmp_seq=153 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=154 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=155 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=156 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=157 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=158 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=160 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=161 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=162 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=163 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=164 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=165 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=166 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=167 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=168 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=169 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=170 ttl=49 time=284 ms
64 bytes from 194.33.45.192: icmp_seq=171 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=172 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=173 ttl=49 time=284 ms
64 bytes from 194.33.45.192: icmp_seq=174 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=175 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=176 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=177 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=178 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=179 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=180 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=181 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=182 ttl=49 time=284 ms
64 bytes from 194.33.45.192: icmp_seq=183 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=184 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=185 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=186 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=187 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=188 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=189 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=190 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=191 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=192 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=193 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=194 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=195 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=196 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=197 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=198 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=199 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=200 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=201 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=202 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=203 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=204 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=205 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=206 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=207 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=208 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=209 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=210 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=211 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=212 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=213 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=214 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=215 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=216 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=217 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=218 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=219 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=220 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=221 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=222 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=223 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=224 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=225 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=226 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=227 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=228 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=229 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=230 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=231 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=232 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=233 ttl=49 time=285 ms
64 bytes from 194.33.45.192: icmp_seq=234 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=235 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=236 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=237 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=238 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=239 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=240 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=241 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=242 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=243 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=244 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=245 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=246 ttl=49 time=277 ms
64 bytes from 194.33.45.192: icmp_seq=247 ttl=49 time=285 ms
64 bytes from 194.33.45.192: icmp_seq=248 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=249 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=250 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=251 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=252 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=253 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=254 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=255 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=256 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=257 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=258 ttl=49 time=515 ms
64 bytes from 194.33.45.192: icmp_seq=260 ttl=49 time=625 ms
64 bytes from 194.33.45.192: icmp_seq=259 ttl=49 time=835 ms
64 bytes from 194.33.45.192: icmp_seq=261 ttl=49 time=420 ms
64 bytes from 194.33.45.192: icmp_seq=262 ttl=49 time=740 ms
64 bytes from 194.33.45.192: icmp_seq=263 ttl=49 time=537 ms
64 bytes from 194.33.45.192: icmp_seq=266 ttl=49 time=457 ms
64 bytes from 194.33.45.192: icmp_seq=267 ttl=49 time=769 ms
64 bytes from 194.33.45.192: icmp_seq=268 ttl=49 time=563 ms
64 bytes from 194.33.45.192: icmp_seq=269 ttl=49 time=886 ms
64 bytes from 194.33.45.192: icmp_seq=270 ttl=49 time=679 ms
64 bytes from 194.33.45.192: icmp_seq=271 ttl=49 time=475 ms
64 bytes from 194.33.45.192: icmp_seq=272 ttl=49 time=795 ms
64 bytes from 194.33.45.192: icmp_seq=273 ttl=49 time=588 ms
64 bytes from 194.33.45.192: icmp_seq=274 ttl=49 time=910 ms
64 bytes from 194.33.45.192: icmp_seq=275 ttl=49 time=702 ms
64 bytes from 194.33.45.192: icmp_seq=276 ttl=49 time=502 ms
64 bytes from 194.33.45.192: icmp_seq=277 ttl=49 time=816 ms
64 bytes from 194.33.45.192: icmp_seq=278 ttl=49 time=610 ms
64 bytes from 194.33.45.192: icmp_seq=280 ttl=49 time=725 ms
64 bytes from 194.33.45.192: icmp_seq=279 ttl=49 time=934 ms
64 bytes from 194.33.45.192: icmp_seq=281 ttl=49 time=525 ms
64 bytes from 194.33.45.192: icmp_seq=283 ttl=49 time=436 ms
64 bytes from 194.33.45.192: icmp_seq=282 ttl=49 time=645 ms
64 bytes from 194.33.45.192: icmp_seq=284 ttl=49 time=460 ms
64 bytes from 194.33.45.192: icmp_seq=285 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=286 ttl=49 time=348 ms
64 bytes from 194.33.45.192: icmp_seq=287 ttl=49 time=377 ms
64 bytes from 194.33.45.192: icmp_seq=288 ttl=49 time=288 ms
64 bytes from 194.33.45.192: icmp_seq=290 ttl=49 time=293 ms
64 bytes from 194.33.45.192: icmp_seq=291 ttl=49 time=287 ms
64 bytes from 194.33.45.192: icmp_seq=292 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=293 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=294 ttl=49 time=304 ms
64 bytes from 194.33.45.192: icmp_seq=295 ttl=49 time=329 ms
64 bytes from 194.33.45.192: icmp_seq=296 ttl=49 time=323 ms
64 bytes from 194.33.45.192: icmp_seq=297 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=298 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=299 ttl=49 time=341 ms
64 bytes from 194.33.45.192: icmp_seq=300 ttl=49 time=367 ms

--- nyc.speedtest.clouvider.net ping statistics ---
300 packets transmitted, 295 received, 1.66667% packet loss, time 60701ms
rtt min/avg/max/mdev = 276.936/314.589/934.197/111.500 ms, pipe 5
